ANCIENT ROME,ANCH027,"II: History and Tradition, Cross Cultural Analysis"
HANDSCHRIFT-HYPERTEXT,GRMN301,"III: Arts and Letters, Cross Cultural Analysis"
"RENAISSANCE-CONTEMPORARY: INTRODUCTION TO WESTERN ART, 1400-PRESENT",ARTH102,"III: Arts and Letters, Cross Cultural Analysis"
WORLD FILM HIST '45-PRES,ARTH109,"III: Arts and Letters, Cross Cultural Analysis"
WORLD FILM HIST TO 1945,ARTH108,"III: Arts and Letters, Cross Cultural Analysis"
ASIAN AMERICANS IN CONTEMPORARY SOCIETY,ASAM001,"I: Society, Cultural Diversity in the U.S."
INTRO TO ASIAN AMER HIST,ASAM003,"II: History and Tradition, Cultural Diversity in the U.S."
LAND OF THE PHARAOHS,NELC062,"II: History and Tradition, Cross Cultural Analysis"
THE IMMIGRANT CITY,SOCI270,"I: Society, Cultural Diversity in the U.S."
INTRO TO MIDDLE EAST,NELC102,"II: History and Tradition, Cross Cultural Analysis"
THE CITY IN SOUTH ASIA,SAST002,"I: Society, Cross Cultural Analysis"
"INDIA'S LITERATURE: LOVE, WAR, WISDOM AND HUMOR",SAST004,"III: Arts and Letters, Cross Cultural Analysis"
AMERICAN ORIGINS,HIST108,"II: History and Tradition, Cultural Diversity in the U.S."
"GEN.PHYS:MECH,HEAT,SOUND",PHYS101,"VI: Physical World, Quantitative Data Analysis"
OCEANOGRAPHY:  OCEANS & CLIMATE,GEOL130,"VI: Physical World, Quantitative Data Analysis"
FREN HIST/CLTR 1789-1945,FREN227,"IV: Humanities and Social Science, Cross Cultural Analysis"
"INDIA'S LITERATURE: LOVE, WAR, WISDOM AND HUMOR",COML012,"III: Arts and Letters, Cross Cultural Analysis"
AFRO AMER HIST 1876-PRES,HIST177,"II: History and Tradition, Cultural Diversity in the U.S."
LATIN AMER 1808-PRESENT,HIST071,"II: History and Tradition, Cross Cultural Analysis"
WORLD MUSIC & CULTURES,ANTH022,"III: Arts and Letters, Cross Cultural Analysis"
WORLD FILM HIST TO 1945,COML123,"III: Arts and Letters, Cross Cultural Analysis"
WORLD FILM HIST '45-PRES,COML124,"III: Arts and Letters, Cross Cultural Analysis"
AFRO AMER HIST 1876-PRES,AFRC177,"II: History and Tradition, Cultural Diversity in the U.S."
CONTEMPOR FICT/FILM-JPAN,GSWS257,"III: Arts and Letters, Cross Cultural Analysis"
MODERN JAPANESE HISTORY,EALC071,"II: History and Tradition, Cross Cultural Analysis"
MADNESS AND MADMEN IN RUSSIAN CULTURE,COML197,"IV: Humanities and Social Science, Cross Cultural Analysis"
CONTEMPOR FICT/FILM-JPAN,EALC151,"III: Arts and Letters, Cross Cultural Analysis"
"ISRAELI FILM & LIT: HAIFA: LITERATURE, ARCHITECTURE, FILM",COML282,"III: Arts and Letters, Cross Cultural Analysis"
GREAT BOOKS OF JUDAISM: THE POWER OF SPEECH IN THE TALMUD,NELC456,"III: Arts and Letters, Cross Cultural Analysis"
GREAT BOOKS OF JUDAISM: THE POWER OF SPEECH IN THE TALMUD,NELC156,"III: Arts and Letters, Cross Cultural Analysis"
"PORTRAITS OF OLD RUSSIA: MYTH, ICON, CHRONICLE",HIST045,"II: History and Tradition, Cross Cultural Analysis"
EMERGENCE OF MODERN SCI,STSC001,"VII: Natural Sciences and Math, IV: Humanities and Social Science"
CONTEMPOR FICT/FILM-JPAN,CIMS151,"III: Arts and Letters, Cross Cultural Analysis"
SOLARSYSTEM EXOPLANETS,ASTR006,"Quantitative Data Analysis, VII: Natural Sciences and Math"
"ISRAELI FILM & LIT: HAIFA: LITERATURE, ARCHITECTURE, FILM",CIMS159,"III: Arts and Letters, Cross Cultural Analysis"
INTRODUCTION TO ENVIRONMENTAL SCIENCE,ENVS100,"VI: Physical World, Quantitative Data Analysis"
MYTHS & RELIG ANC WORLD,ANCH046,"II: History and Tradition, Cross Cultural Analysis"
JEWS IN THE MODERN WORLD,RELS122,"II: History and Tradition, Cross Cultural Analysis"
INTRODUCTION TO FOLKLORE,NELC181,"IV: Humanities and Social Science, Cross Cultural Analysis"
THE IMMIGRANT CITY,URBS270,"I: Society, Cultural Diversity in the U.S."
HONORS PHYSICS II: ELECTROMAGNETISM AND RADIATION,PHYS171,"VI: Physical World, Quantitative Data Analysis"
"PORTRAITS OF OLD RUSSIA: MYTH, ICON, CHRONICLE",RUSS113,"II: History and Tradition, Cross Cultural Analysis"
INTRODUCTION TO FOLKLORE,FOLK101,"IV: Humanities and Social Science, Cross Cultural Analysis"
ITALIAN HIST ON SCREEN,CIMS206,"III: Arts and Letters, Cross Cultural Analysis"
GENDER & SOCIETY,GSWS002,"I: Society, Cultural Diversity in the U.S."
ASIAN AMERICANS IN CONTEMPORARY SOCIETY,SOCI103,"I: Society, Cultural Diversity in the U.S."
"PORTRAITS OF OLD RUSSIA: MYTH, ICON, CHRONICLE",COML131,"II: History and Tradition, Cross Cultural Analysis"
TEXTS AND CONTEXTS,SPAN219,"IV: Humanities and Social Science, Cross Cultural Analysis"
INTRO TO GEOLOGY,GEOL100,"VI: Physical World, Quantitative Data Analysis"
EMERGENCE OF MODERN SCI,HSOC001,"VII: Natural Sciences and Math, IV: Humanities and Social Science"
"GENERAL PHYSICS: ELECTROMAGNETISM, OPTICS, AND MODERN PHYSICS",PHYS102,"VI: Physical World, Quantitative Data Analysis"
MASTERPIECES 20C RUS LIT,RUSS155,"III: Arts and Letters, Cross Cultural Analysis"
MYTHS & RELIG ANC WORLD,NELC046,"II: History and Tradition, Cross Cultural Analysis"
MYTHS & RELIG ANC WORLD,RELS014,"II: History and Tradition, Cross Cultural Analysis"
THE IMMIGRANT CITY,LALS273,"I: Society, Cultural Diversity in the U.S."
CHINESE FICTION & DRAMA,EALC122,"III: Arts and Letters, Cross Cultural Analysis"
ANCIENT ROME,CLST027,"II: History and Tradition, Cross Cultural Analysis"
JEWS IN THE MODERN WORLD,JWST158,"II: History and Tradition, Cross Cultural Analysis"
GREAT BOOKS OF JUDAISM: THE POWER OF SPEECH IN THE TALMUD,JWST151,"III: Arts and Letters, Cross Cultural Analysis"
"ISRAELI FILM & LIT: HAIFA: LITERATURE, ARCHITECTURE, FILM",JWST154,"III: Arts and Letters, Cross Cultural Analysis"
IDEAS IN MATHEMATICS,MATH170,"Formal Reasoning & Analysis, VII: Natural Sciences and Math"
"EYE, MIND AND IMAGE",VLST101,"VII: Natural Sciences and Math, IV: Humanities and Social Science"
MDRN WRLD-CLTRL BKGND,ANTH004,"IV: Humanities and Social Science, Cross Cultural Analysis"
INTRODUCTION TO CULTURAL ANTHROPOLOGY,ANTH002,"I: Society, Cross Cultural Analysis"
INTRO LITERARY ANALYSIS,SPAN223,"III: Arts and Letters, Cross Cultural Analysis"
WORLD MUSICS & CULTURES,AFRC050,"III: Arts and Letters, Cross Cultural Analysis"
THE CITY IN SOUTH ASIA,URBS122,"I: Society, Cross Cultural Analysis"
HINDU MYTHOLOGY,RELS066,"III: Arts and Letters, Cross Cultural Analysis"
ITALIAN HIST ON SCREEN,ITAL204,"III: Arts and Letters, Cross Cultural Analysis"
WORLD FILM HIST '45-PRES,ENGL092,"III: Arts and Letters, Cross Cultural Analysis"
GREEK & ROMAN MYTHOLOGY,CLST100,"III: Arts and Letters, Cross Cultural Analysis"
MADNESS AND MADMEN IN RUSSIAN CULTURE,RUSS197,"IV: Humanities and Social Science, Cross Cultural Analysis"
CHEM OF THE ENVIRONMENT,CHEM012,"VI: Physical World, Quantitative Data Analysis"
AFR LANG TUTOR:INTERM II: IGBO-AFR LANG INTER II,AFST493,"Language, Cross Cultural Analysis"
THE TRANSFORMATION OF URBAN AMERICA,HIST153,"I: Society, Cultural Diversity in the U.S."
INTRO TO ASIAN AMER HIST,HIST155,"II: History and Tradition, Cultural Diversity in the U.S."
WORLD FILM HIST '45-PRES,CIMS102,"III: Arts and Letters, Cross Cultural Analysis"
WORLD FILM HIST TO 1945,CIMS101,"III: Arts and Letters, Cross Cultural Analysis"
INTRODUCTION TO FOLKLORE,COML101,"IV: Humanities and Social Science, Cross Cultural Analysis"
